file,0,1,2,3,4,5,6,7,8,9,10,11,12
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.zygotelabs.locker_11.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.alketii.mightyknight_1.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.zygotelabs.locker_11.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.notriddle.budget_44.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/anupam.acrylic_17.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/protect.budgetwatch_29.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/nya.miku.wishmaster_54.apk_config_FlowDroid_23.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dyndns.sven_ola.debian_kit_6.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.zamedev.gloomydungeons2.opensource_1602221800.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.miqote.shanawp_10.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/daniel_32.flexiblewallpaper_2.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/ru.henridellal.dialer_10.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.polarclock_10.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.materialos.cm.theme_5.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/jackpal.androidterm_72.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.tuxpaint_923.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jfedor.frozenbubble_54.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.zamedev.gloomydungeons2.opensource_1602221800.apk_config_FlowDroid_22.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.khertan.forrunners_101030.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.lonamiwebs.klooni_820.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/nya.miku.wishmaster_54.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dnaq.dialer2_17.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/trikita.talalarmo_19.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.alketii.mightyknight_1.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/pt.isec.tp.am_4.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/pt.isec.tp.am_4.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.osmand.plus_355.apk_config_FlowDroid_23.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.ninthfloor.copperpdf_4.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.tedstein.AndroSS_17.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jsl.wfwt_14.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,1,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/trikita.talalarmo_19.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/uk.co.yahoo.p1rpp.calendartrigger_7.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.tuxpaint_923.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.notriddle.budget_44.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.polarclock_10.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/jackpal.androidterm_72.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.nutomic.ensichat_17.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jfedor.frozenbubble_54.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dyndns.sven_ola.debian_kit_6.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/anupam.acrylic_17.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/ru.henridellal.dialer_10.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.miqote.shanawp_10.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/daniel_32.flexiblewallpaper_2.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.khertan.forrunners_101030.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.materialos.cm.theme_5.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.lonamiwebs.klooni_820.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.nutomic.ensichat_17.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/protect.budgetwatch_29.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dnaq.dialer2_17.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.kanade.tachiyomi_41.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.osmand.plus_355.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jsl.wfwt_14.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/trikita.talalarmo_19.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.ninthfloor.copperpdf_4.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.tedstein.AndroSS_17.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/uk.co.yahoo.p1rpp.calendartrigger_7.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.polarclock_10.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.notriddle.budget_44.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/jackpal.androidterm_72.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dyndns.sven_ola.debian_kit_6.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.tuxpaint_923.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/ru.henridellal.dialer_10.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dnaq.dialer2_17.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,1,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.miqote.shanawp_10.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/anupam.acrylic_17.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/daniel_32.flexiblewallpaper_2.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.zygotelabs.locker_11.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.materialos.cm.theme_5.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.khertan.forrunners_101030.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/pt.isec.tp.am_4.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.alketii.mightyknight_1.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.lonamiwebs.klooni_820.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jfedor.frozenbubble_54.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/protect.budgetwatch_29.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.nutomic.ensichat_17.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.zamedev.gloomydungeons2.opensource_1602221800.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/nya.miku.wishmaster_54.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.kanade.tachiyomi_41.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.osmand.plus_355.apk_config_FlowDroid_24.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.osmand.plus_355.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.kanade.tachiyomi_41.apk_config_FlowDroid_26.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jsl.wfwt_14.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.tedstein.AndroSS_17.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/uk.co.yahoo.p1rpp.calendartrigger_7.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.ninthfloor.copperpdf_4.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.polarclock_10.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/trikita.talalarmo_19.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/nya.miku.wishmaster_54.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.tuxpaint_923.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.notriddle.budget_44.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.miqote.shanawp_10.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dyndns.sven_ola.debian_kit_6.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/anupam.acrylic_17.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dnaq.dialer2_17.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/daniel_32.flexiblewallpaper_2.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.zygotelabs.locker_11.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.zamedev.gloomydungeons2.opensource_1602221800.apk_config_FlowDroid_25.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/jackpal.androidterm_72.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.materialos.cm.theme_5.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.khertan.forrunners_101030.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/ru.henridellal.dialer_10.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.lonamiwebs.klooni_820.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jfedor.frozenbubble_54.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.kanade.tachiyomi_41.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/pt.isec.tp.am_4.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/eu.polarclock_10.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/net.tedstein.AndroSS_17.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.nutomic.ensichat_17.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/protect.budgetwatch_29.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/io.github.alketii.mightyknight_1.apk_config_FlowDroid_27.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.ninthfloor.copperpdf_4.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/trikita.talalarmo_19.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.angrydoughnuts.android.alarmclock_15.apk_config_FlowDroid_28.xml,0,0,1,1,1,1,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/jackpal.androidterm_72.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dyndns.sven_ola.debian_kit_6.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.tuxpaint_923.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.jsl.wfwt_14.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.notriddle.budget_44.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/org.dnaq.dialer2_17.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,1,1,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/anupam.acrylic_17.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/ru.henridellal.dialer_10.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.miqote.shanawp_10.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/asm140830/Documents/benchmarks/FossDroid31/results/FlowDroid/repetition1/2-way/com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_28.xml,0,0,0,0,0,0,0,0,0,0,0,0,0
